analysis_type,member_casual,location_name,end_location,location_type,usage_count,avg_duration_minutes,avg_distance_km,popularity_rank,conversion_potential
CONVERSION_TARGETS,casual,"""Wells St & Huron St""",,High-Potential Station,8387,0,0,30,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Wilton Ave & Belmont Ave""",,High-Potential Station,8161,0,0,31,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""DuSable Lake Shore Dr & Belmont Ave""",,High-Potential Station,8022,0,0,32,High Conversion Potential
CONVERSION_TARGETS,casual,"""Wells St & Hubbard St""",,High-Potential Station,7726,0,0,33,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Dearborn Pkwy & Delaware Pl""",,High-Potential Station,7516,0,0,34,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Wabash Ave & Roosevelt Rd""",,High-Potential Station,7507,0,0,35,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Desplaines St & Kinzie St""",,High-Potential Station,7392,0,0,36,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Halsted St & Fulton St""",,High-Potential Station,7369,0,0,37,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Broadway & Barry Ave""",,High-Potential Station,7341,0,0,38,Medium Conversion Potential
CONVERSION_TARGETS,casual,"""Clark St & Newport St""",,High-Potential Station,7206,0,0,39,High Conversion Potential
CONVERSION_TARGETS,casual,"""Clark St & Newport St""",,High-Potential Station,7206,0,0,40,High Conversion Potential
CONVERSION_TARGETS,casual,"""DuSable Lake Shore Dr & Wellington Ave""",,High-Potential Station,7199,0,0,41,High Conversion Potential
CONVERSION_TARGETS,casual,"""Cityfront Plaza Dr & Pioneer Ct""",,High-Potential Station,7180,0,0,42,High Conversion Potential
CONVERSION_TARGETS,casual,"""Fairbanks Ct & Grand Ave""",,High-Potential Station,7172,0,0,43,High Conversion Potential
CONVERSION_TARGETS,casual,"""Lincoln Park Conservatory""",,High-Potential Station,7158,0,0,44,High Conversion Potential
CONVERSION_TARGETS,casual,"""Lakeview Ave & Fullerton Pkwy""",,High-Potential Station,7134,0,0,45,High Conversion Potential
CONVERSION_TARGETS,casual,"""Wells St & Evergreen Ave""",,High-Potential Station,7045,0,0,46,High Conversion Potential
CONVERSION_TARGETS,casual,"""Sheffield Ave & Waveland Ave""",,High-Potential Station,6983,0,0,47,High Conversion Potential
TOP_ROUTES,casual,"""DuSable Lake Shore Dr & Monroe St""","""Streeter Dr & Grand Ave""",Route,5265,26.07,1.32,1,
TOP_ROUTES,casual,"""Streeter Dr & Grand Ave""","""DuSable Lake Shore Dr & Monroe St""",Route,2704,27.59,1.32,2,
TOP_ROUTES,casual,"""Streeter Dr & Grand Ave""",,Route,2416,29.13,2.74,3,
TOP_ROUTES,casual,"""Shedd Aquarium""","""Streeter Dr & Grand Ave""",Route,2395,32.9,2.8,4,
TOP_ROUTES,casual,"""Dusable Harbor""","""Streeter Dr & Grand Ave""",Route,2377,26.6,0.59,5,
TOP_ROUTES,casual,,"""Streeter Dr & Grand Ave""",Route,2286,26.02,2.99,6,
TOP_ROUTES,casual,"""Shedd Aquarium""","""DuSable Lake Shore Dr & Monroe St""",Route,2250,20.04,1.53,7,
TOP_ROUTES,casual,"""Streeter Dr & Grand Ave""","""DuSable Lake Shore Dr & North Blvd""",Route,2138,24.32,2.48,8,
TOP_ROUTES,casual,"""Streeter Dr & Grand Ave""","""Millennium Park""",Route,2027,31.56,1.6,9,
TOP_ROUTES,casual,"""DuSable Lake Shore Dr & Monroe St""","""Shedd Aquarium""",Route,1989,21.14,1.53,10,
TOP_ROUTES,member,"""State St & 33rd St""","""Calumet Ave & 33rd St""",Route,5587,3.99,0.65,1,
TOP_ROUTES,member,"""Calumet Ave & 33rd St""","""State St & 33rd St""",Route,5504,4.21,0.66,2,
TOP_ROUTES,member,"""Ellis Ave & 60th St""","""University Ave & 57th St""",Route,3988,5.12,0.72,3,
TOP_ROUTES,member,"""Ellis Ave & 60th St""","""Ellis Ave & 55th St""",Route,3976,5.37,1.02,4,
TOP_ROUTES,member,"""University Ave & 57th St""","""Ellis Ave & 60th St""",Route,3942,5,0.72,5,
TOP_ROUTES,member,"""Ellis Ave & 55th St""","""Ellis Ave & 60th St""",Route,3837,5.1,1.02,6,
TOP_ROUTES,member,,"""Clinton St & Washington Blvd""",Route,2900,10.17,2.55,7,
TOP_ROUTES,member,,"""Kingsbury St & Kinzie St""",Route,2764,9.12,2.17,8,
TOP_ROUTES,member,,"""Ravenswood Ave & Lawrence Ave""",Route,2663,8.84,2.18,9,
TOP_ROUTES,member,"""Kingsbury St & Kinzie St""",,Route,2610,9.05,1.87,10,
TOP_STATIONS,casual,,,Station,370791,15.56,2.51,1,
TOP_STATIONS,casual,"""Streeter Dr & Grand Ave""",,Station,50270,57.8,6.1,2,
TOP_STATIONS,casual,"""DuSable Lake Shore Dr & Monroe St""",,Station,33484,56.79,5.83,3,
TOP_STATIONS,casual,"""Michigan Ave & Oak St""",,Station,24738,52.45,5.51,4,
TOP_STATIONS,casual,"""DuSable Lake Shore Dr & North Blvd""",,Station,22668,42.24,5.37,5,
TOP_STATIONS,casual,"""Millennium Park""",,Station,22179,50.46,nan,6,
TOP_STATIONS,casual,"""Shedd Aquarium""",,Station,20747,56.34,5.5,7,
TOP_STATIONS,casual,"""Dusable Harbor""",,Station,18176,51.79,5.64,8,
TOP_STATIONS,casual,"""Theater on the Lake""",,Station,16562,42.79,5.23,9,
TOP_STATIONS,casual,"""Michigan Ave & 8th St""",,Station,13322,42.26,4.91,10,
TOP_STATIONS,member,,,Station,634258,14.55,2.97,1,
TOP_STATIONS,member,"""Kingsbury St & Kinzie St""",,Station,29212,18.96,3.87,2,
TOP_STATIONS,member,"""Clinton St & Washington Blvd""",,Station,27439,20.45,4.35,3,
TOP_STATIONS,member,"""Clinton St & Madison St""",,Station,24573,20.59,4.3,4,
TOP_STATIONS,member,"""Clark St & Elm St""",,Station,24425,23.58,4.62,5,
TOP_STATIONS,member,"""Wells St & Concord Ln""",,Station,20488,20.83,4.39,6,
TOP_STATIONS,member,"""Wells St & Elm St""",,Station,20217,20.93,4.17,7,
TOP_STATIONS,member,"""Clinton St & Jackson Blvd""",,Station,20048,20.85,4.35,8,
TOP_STATIONS,member,"""Dearborn St & Erie St""",,Station,19196,23.39,4.48,9,
TOP_STATIONS,member,"""Canal St & Madison St""",,Station,18901,21.67,4.3,10,
