analysis_type,usage_frequency_category,savings_category,user_segments_count,avg_monthly_trips,avg_annual_trips,avg_annual_casual_cost,annual_membership_cost,avg_annual_savings,avg_conversion_score,consistency_score,marketing_priority,recommended_messaging,break_even_annual_trips
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,597,7164,18448.97154,180.00,18268.97154,95,100.00,Immediate Priority,"""Fairbanks Ct & Grand Ave""",70
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,568,6816,18094.93057,180.00,17914.93057,95,100.00,Immediate Priority,"""Wabash Ave & Wacker Pl""",68
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,940,11280,17855.74421,180.00,17675.74421,95,100.00,Immediate Priority,"""Wells St & Concord Ln""",114
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,529,6348,17824.6878325,180.00,17644.6878325,95,100.00,Immediate Priority,"""Mies van der Rohe Way & Chestnut St""",64
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,442,5304,17754.1350875,180.00,17574.1350875,95,100.00,Immediate Priority,"""McClurg Ct & Erie St""",54
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,891,10692,17605.866655,180.00,17425.866655,95,100.00,Immediate Priority,"""Clark St & Elm St""",109
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,625,7500,17495.363575,180.00,17315.363575,95,100.00,Immediate Priority,"""Wabash Ave & Roosevelt Rd""",77
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,685,8220,17280.948085,180.00,17100.948085,95,100.00,Immediate Priority,"""Dearborn St & Erie St""",86
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,449,5388,17084.611755,180.00,16904.611755,95,100.00,Immediate Priority,"""Michigan Ave & Pearson St""",57
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,599,7188,16677.676595,180.00,16497.676595,94,100.00,Immediate Priority,"""DuSable Lake Shore Dr & Wellington Ave""",78
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,418,5016,16589.408865,180.00,16409.408865,95,100.00,Immediate Priority,"""Shore Dr & 55th St""",54
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,514,6168,15991.364495,180.00,15811.364495,95,100.00,Immediate Priority,"""Field Blvd & South Water St""",69
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,827,9924,15983.3252775,180.00,15803.3252775,95,100.00,Immediate Priority,"""Wells St & Elm St""",112
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,435,5220,15727.2519,180.00,15547.2519,95,100.00,Immediate Priority,"""Michigan Ave & Madison St""",60
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,594,7128,15662.2538275,180.00,15482.2538275,95,100.00,Immediate Priority,"""Lakeview Ave & Fullerton Pkwy""",82
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,366,4392,15621.315672,180.00,15441.315672,95,83.33,Immediate Priority,"""Cannon Dr & Fullerton Ave""",51
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,483,5796,15488.6425690909,180.00,15308.6425690909,95,91.67,Immediate Priority,"""Streeter Dr/Grand Ave""",67
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,429,5148,15009.5482609091,180.00,14829.5482609091,95,91.67,Immediate Priority,"""Burnham Harbor""",62
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,398,4776,14776.9192227273,180.00,14596.9192227273,95,91.67,Immediate Priority,"""Michigan Ave & Ida B Wells Dr""",58
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,722,8664,14737.7992090909,180.00,14557.7992090909,95,91.67,Immediate Priority,"""State St & Chicago Ave""",106
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,532,6384,14542.76344,180.00,14362.76344,95,100.00,Immediate Priority,"""State St & Randolph St""",79
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,466,5592,14431.1132945455,180.00,14251.1132945455,95,91.67,Immediate Priority,"""Clark St & North Ave""",70
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,836,10032,14106.314155,180.00,13926.314155,95,100.00,Immediate Priority,"""Kingsbury St & Kinzie St""",128
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,581,6972,14017.9025525,180.00,13837.9025525,95,100.00,Immediate Priority,"""Sheffield Ave & Waveland Ave""",90
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,524,6288,13806.3077575,180.00,13626.3077575,95,100.00,Immediate Priority,"""Daley Center Plaza""",82
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,626,7512,13783.19325,180.00,13603.19325,95,100.00,Immediate Priority,"""Dearborn Pkwy & Delaware Pl""",98
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,511,6132,13667.673685,180.00,13487.673685,95,100.00,Immediate Priority,"""Clark St & Lake St""",81
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,668,8016,13618.3176,180.00,13438.3176,95,100.00,Immediate Priority,"""Clinton St & Madison St""",106
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,465,5580,13388.91679,180.00,13208.91679,95,100.00,Immediate Priority,"""State St & Kinzie St""",75
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,611,7332,13370.6090625,180.00,13190.6090625,95,100.00,Immediate Priority,"""Broadway & Barry Ave""",99
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,680,8160,13333.24181,180.00,13153.24181,95,100.00,Immediate Priority,"""Wilton Ave & Belmont Ave""",110
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,476,5712,13006.0338575,180.00,12826.0338575,95,100.00,Immediate Priority,"""Wabash Ave & 9th St""",79
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,600,7200,12976.7614425,180.00,12796.7614425,95,100.00,Immediate Priority,"""Clark St & Newport St""",100
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,528,6336,12778.448855,180.00,12598.448855,95,100.00,Immediate Priority,"""Broadway & Cornelia Ave""",89
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,467,5604,12757.600815,180.00,12577.600815,95,100.00,Immediate Priority,"""Pine Grove Ave & Waveland Ave""",79
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,440,5280,12700.5864425,180.00,12520.5864425,95,100.00,Immediate Priority,"""St. Clair St & Erie St""",75
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,698,8376,12660.4660925,180.00,12480.4660925,95,100.00,Immediate Priority,"""Wells St & Huron St""",119
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,441,5292,12544.1336175,180.00,12364.1336175,95,100.00,Immediate Priority,"""Rush St & Superior St""",76
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,514,6168,12529.759295,180.00,12349.759295,95,100.00,Immediate Priority,"""Franklin St & Jackson Blvd""",89
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,483,5796,12487.0746825,180.00,12307.0746825,95,100.00,Immediate Priority,"""Dearborn St & Monroe St""",84
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,643,7716,12327.5058,180.00,12147.5058,95,100.00,Immediate Priority,"""Wells St & Hubbard St""",113
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,491,5892,12100.0617575,180.00,11920.0617575,95,100.00,Immediate Priority,"""Stockton Dr & Wrightwood Ave""",88
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,398,4776,11813.8219075,180.00,11633.8219075,95,100.00,Immediate Priority,"""Mies van der Rohe Way & Chicago Ave""",73
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,465,5580,11736.0683525,180.00,11556.0683525,95,100.00,Immediate Priority,"""Clark St & Drummond Pl""",86
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,506,6072,11703.4233425,180.00,11523.4233425,95,100.00,Immediate Priority,"""Federal St & Polk St""",93
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,547,6564,11471.6992975,180.00,11291.6992975,95,100.00,Immediate Priority,"""Clark St & Wrightwood Ave""",103
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,573,6876,11459.323285,180.00,11279.323285,95,100.00,Immediate Priority,"""Larrabee St & Webster Ave""",108
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,365,4380,11402.507225,180.00,11222.507225,95,100.00,Immediate Priority,"""Wabash Ave & Adams St""",69
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,520,6240,11277.59524,180.00,11097.59524,95,100.00,Immediate Priority,"""Halsted St & Roscoe St""",100
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,340,4080,11168.0444475,180.00,10988.0444475,95,100.00,Immediate Priority,"""Calumet Ave & 18th St""",66
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,586,7032,11165.9110575,180.00,10985.9110575,95,100.00,Immediate Priority,"""Canal St & Madison St""",113
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,515,6180,11093.7155275,180.00,10913.7155275,95,100.00,Immediate Priority,"""Clinton St & Jackson Blvd""",100
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,474,5688,11092.922975,180.00,10912.922975,95,100.00,Immediate Priority,"""Rush St & Cedar St""",92
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,614,7368,11087.296075,180.00,10907.296075,95,100.00,Immediate Priority,"""Halsted St & Fulton St""",120
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,616,7392,11077.528425,180.00,10897.528425,95,100.00,Immediate Priority,"""Desplaines St & Kinzie St""",120
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,360,4320,11043.191845,180.00,10863.191845,95,100.00,Immediate Priority,"""Stetson Ave & South Water St""",70
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,244,2928,11016.6872666667,180.00,10836.6872666667,95,75.00,High Priority,"""Fort Dearborn Dr & 31st St*""",48
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,587,7044,10992.55059,180.00,10812.55059,95,100.00,Immediate Priority,"""Wells St & Evergreen Ave""",115
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,567,6804,10970.18746,180.00,10790.18746,95,100.00,Immediate Priority,"""Orleans St & Merchandise Mart Plaza""",112
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,513,6156,10925.6787875,180.00,10745.6787875,95,100.00,Immediate Priority,"""Clark St & Schiller St""",101
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,539,6468,10905.5779275,180.00,10725.5779275,95,100.00,Immediate Priority,"""Damen Ave & Pierce Ave""",107
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,488,5856,10581.6291325,180.00,10401.6291325,95,100.00,Immediate Priority,"""University Ave & 57th St""",100
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,529,6348,10554.01794,180.00,10374.01794,95,100.00,Immediate Priority,"""Ashland Ave & Division St""",108
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,467,5604,10505.7292675,180.00,10325.7292675,95,100.00,Immediate Priority,"""Southport Ave & Roscoe St""",96
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,369,4428,10391.0296275,180.00,10211.0296275,95,100.00,Immediate Priority,"""Michigan Ave & 14th St""",77
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,535,6420,10384.727605,180.00,10204.727605,95,100.00,Immediate Priority,"""Sheffield Ave & Fullerton Ave""",111
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,257,3084,10371.2504181818,180.00,10191.2504181818,95,91.67,Immediate Priority,"""Marine Dr & Ainslie St""",54
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,495,5940,10267.7046275,180.00,10087.7046275,95,100.00,Immediate Priority,"""Lincoln Ave & Fullerton Ave""",104
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,453,5436,10224.73926,180.00,10044.73926,95,100.00,Immediate Priority,"""Broadway & Waveland Ave""",96
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,327,3924,10024.8953925,180.00,9844.8953925,95,100.00,Immediate Priority,"""Michigan Ave & 18th St""",70
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,372,4464,9985.40379,180.00,9805.40379,95,100.00,Immediate Priority,"""LaSalle Dr & Huron St""",80
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,373,4476,9727.60077545455,180.00,9547.60077545455,95,91.67,Immediate Priority,"""Wells St & Randolph St""",83
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,559,6708,9661.7213175,180.00,9481.7213175,95,100.00,Immediate Priority,"""Clinton St & Washington Blvd""",125
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,332,3984,9512.169795,180.00,9332.169795,95,100.00,Immediate Priority,"""Rush St & Hubbard St""",75
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,500,6000,9466.2314325,180.00,9286.2314325,95,100.00,Immediate Priority,"""Halsted St & Clybourn Ave""",114
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,178,2136,9428.710092,180.00,9248.710092,95,83.33,Immediate Priority,"""Fort Dearborn Dr & 31st St""",41
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,303,3636,9389.0648675,180.00,9209.0648675,95,100.00,Immediate Priority,"""State St & Van Buren St""",70
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,477,5724,9384.75787,180.00,9204.75787,95,100.00,Immediate Priority,"""Sheffield Ave & Wrightwood Ave""",110
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,463,5556,9348.965715,180.00,9168.965715,95,100.00,Immediate Priority,"""Green St & Madison St""",107
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,385,4620,9335.0872025,180.00,9155.0872025,95,100.00,Immediate Priority,"""Broadway & Belmont Ave""",89
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,447,5364,9320.63811,180.00,9140.63811,95,100.00,Immediate Priority,"""Canal St & Adams St""",104
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,313,3756,9216.4821725,180.00,9036.4821725,94,100.00,Immediate Priority,"""State St & Harrison St""",73
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,476,5712,9094.6131975,180.00,8914.6131975,95,100.00,Immediate Priority,"""Ellis Ave & 60th St""",113
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,455,5460,9085.18034,180.00,8905.18034,95,100.00,Immediate Priority,"""Clark St & Grace St""",108
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,214,2568,8874.5983925,180.00,8694.5983925,94,100.00,Immediate Priority,"""Cornell Ave & Hyde Park Blvd""",52
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,246,2952,8836.07656909091,180.00,8656.07656909091,94,91.67,Immediate Priority,"""Calumet Ave & 21st St""",60
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,409,4908,8751.34885636364,180.00,8571.34885636364,95,91.67,Immediate Priority,"""Ritchie Ct & Banks St""",101
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,311,3732,8663.5378025,180.00,8483.5378025,94,100.00,Immediate Priority,"""Clarendon Ave & Junior Ter""",78
STATION_CONVERSION_TARGETS,Super Heavy User (20+ trips/month),High Savings Potential (>$10/month),1,340,4080,8518.3270425,180.00,8338.3270425,95,100.00,Immediate Priority,"""Pine Grove Ave & Irving Park Rd""",86
