analysis_type,timing_combination,conversion_readiness_stage,unique_casual_riders,avg_cumulative_trips,avg_tenure_days,recommended_marketing_action,messaging_phase,campaign_priority_score,estimated_conversion_rate,conversion_window_type
GROWTH_TREND_ANALYSIS,Strong Growth (25-50% MoM),Growth Pattern Analysis,720,286,160,Immediate Conversion Push,Growth-Based Messaging,80,25-35%,Momentum-Based Timing
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Habit Formation (16-30 trips),Medium Conversion Readiness,472,21,47,Nurture for 2-4 weeks,Conversion Opportunity,75,15-25%,Prime Nurturing Window
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Regular Usage (31-60 trips),Medium Conversion Readiness,376,44,43,Nurture for 2-4 weeks,Conversion Opportunity,75,15-25%,Prime Nurturing Window
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Power User (60+ trips),Medium Conversion Readiness,352,161,47,Nurture for 2-4 weeks,Conversion Opportunity,75,15-25%,Prime Nurturing Window
OPTIMAL_TIMING_ANALYSIS,Established User (91-180 days) + Habit Formation (16-30 trips),Medium Conversion Readiness,304,17,127,Nurture for 2-4 weeks,Loyalty & Savings Focus,75,20-30%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Adoption Phase (6-15 trips),Medium Conversion Readiness,252,15,54,Nurture for 2-4 weeks,Conversion Opportunity,75,15-25%,Prime Nurturing Window
OPTIMAL_TIMING_ANALYSIS,Established User (91-180 days) + Adoption Phase (6-15 trips),Medium Conversion Readiness,216,15,127,Nurture for 2-4 weeks,Loyalty & Savings Focus,75,20-30%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Regular Usage (31-60 trips),Medium Conversion Readiness,134,43,30,Nurture for 2-4 weeks,Value Demonstration,75,5-15%,Prime Nurturing Window
OPTIMAL_TIMING_ANALYSIS,Veteran User (180+ days) + Habit Formation (16-30 trips),Medium Conversion Readiness,116,17,225,Nurture for 2-4 weeks,Retention & Upgrade Focus,75,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Habit Formation (16-30 trips),Medium Conversion Readiness,103,22,30,Nurture for 2-4 weeks,Value Demonstration,75,5-15%,Prime Nurturing Window
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Power User (60+ trips),Medium Conversion Readiness,93,139,30,Nurture for 2-4 weeks,Value Demonstration,65,5-15%,Prime Nurturing Window
OPTIMAL_TIMING_ANALYSIS,Veteran User (180+ days) + Adoption Phase (6-15 trips),Medium Conversion Readiness,65,15,225,Nurture for 2-4 weeks,Retention & Upgrade Focus,65,5-15%,Standard Timeline
GROWTH_TREND_ANALYSIS,Moderate Growth (0-25% MoM),Growth Pattern Analysis,722,345,196,Capitalize on Growth,Growth-Based Messaging,60,15-25%,Momentum-Based Timing
OPTIMAL_TIMING_ANALYSIS,New User (0-7 days) + Exploration Phase (1-5 trips),Not Ready for Conversion,1598,2,1,Awareness Building Phase,Welcome & Education,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Exploration Phase (1-5 trips),Not Ready for Conversion,624,3,18,Awareness Building Phase,Value Demonstration,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Exploration Phase (1-5 trips),Not Ready for Conversion,584,3,53,Awareness Building Phase,Conversion Opportunity,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Adoption Phase (6-15 trips),Not Ready for Conversion,487,8,17,Awareness Building Phase,Value Demonstration,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Adoption Phase (6-15 trips),Not Ready for Conversion,486,7,56,Awareness Building Phase,Conversion Opportunity,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Regular User (31-90 days) + Adoption Phase (6-15 trips),Low Conversion Readiness,438,12,55,Educational Content Phase,Conversion Opportunity,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,New User (0-7 days) + Adoption Phase (6-15 trips),Not Ready for Conversion,417,9,3,Awareness Building Phase,Welcome & Education,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Established User (91-180 days) + Adoption Phase (6-15 trips),Low Conversion Readiness,340,12,126,Educational Content Phase,Loyalty & Savings Focus,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Habit Formation (16-30 trips),Low Conversion Readiness,307,22,22,Educational Content Phase,Value Demonstration,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,Established User (91-180 days) + Adoption Phase (6-15 trips),Not Ready for Conversion,286,7,123,Awareness Building Phase,Loyalty & Savings Focus,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Adoption Phase (6-15 trips),Low Conversion Readiness,285,12,22,Educational Content Phase,Value Demonstration,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,Established User (91-180 days) + Exploration Phase (1-5 trips),Not Ready for Conversion,236,3,119,Awareness Building Phase,Loyalty & Savings Focus,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Regular Usage (31-60 trips),Low Conversion Readiness,219,42,23,Educational Content Phase,Value Demonstration,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Habit Formation (16-30 trips),Not Ready for Conversion,184,22,9,Awareness Building Phase,Value Demonstration,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,New User (0-7 days) + Habit Formation (16-30 trips),Not Ready for Conversion,181,21,4,Awareness Building Phase,Welcome & Education,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,Veteran User (180+ days) + Adoption Phase (6-15 trips),Low Conversion Readiness,108,12,220,Educational Content Phase,Retention & Upgrade Focus,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Regular Usage (31-60 trips),Not Ready for Conversion,89,42,10,Awareness Building Phase,Value Demonstration,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Power User (60+ trips),Low Conversion Readiness,88,154,23,Educational Content Phase,Value Demonstration,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,Veteran User (180+ days) + Adoption Phase (6-15 trips),Not Ready for Conversion,77,7,217,Awareness Building Phase,Retention & Upgrade Focus,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,New User (0-7 days) + Regular Usage (31-60 trips),Not Ready for Conversion,65,37,5,Awareness Building Phase,Welcome & Education,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,Veteran User (180+ days) + Exploration Phase (1-5 trips),Not Ready for Conversion,61,3,218,Awareness Building Phase,Retention & Upgrade Focus,45,5-15%,Standard Timeline
OPTIMAL_TIMING_ANALYSIS,Trial User (8-30 days) + Power User (60+ trips),Not Ready for Conversion,21,232,10,Awareness Building Phase,Value Demonstration,45,5-15%,Early Engagement Window
OPTIMAL_TIMING_ANALYSIS,New User (0-7 days) + Power User (60+ trips),Not Ready for Conversion,11,247,5,Awareness Building Phase,Welcome & Education,45,5-15%,Early Engagement Window
GROWTH_TREND_ANALYSIS,Declining Usage (<-25% MoM),Growth Pattern Analysis,1161,98,267,Re-engagement Strategy,Growth-Based Messaging,30,5-15%,Momentum-Based Timing
GROWTH_TREND_ANALYSIS,Stable Usage (-25 to 0% MoM),Growth Pattern Analysis,897,237,219,Re-engagement Strategy,Growth-Based Messaging,30,5-15%,Momentum-Based Timing
