analysis_type,station_name,station_type,total_casual_trips_2024,unique_casual_riders,avg_trips_per_active_day,casual_percentage,composite_roi_score,investment_recommendation,recommended_tactics,conservative_conversion_target,optimistic_conversion_target,annual_revenue_potential,campaign_timeline_priority,success_metrics_target
STATION_ROI_ANALYSIS,"""Michigan Ave & Oak St""",Quality Usage Station,24738,1,71.29,63.38,87.09,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,3711,6185,890568,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Millennium Park""",Quality Usage Station,22179,1,62.83,68.11,86.74,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,3327,5545,798444,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""DuSable Lake Shore Dr & North Blvd""",Quality Usage Station,22668,1,67.26,58.24,85.47,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,3400,5667,816048,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Theater on the Lake""",Quality Usage Station,16562,1,50.80,56.62,85.25,"High Investment ($5,000-10,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,2484,4141,596232,Immediate Priority (Q1 2025),20-30% conversion rate target
STATION_ROI_ANALYSIS,"""Montrose Harbor""",Quality Usage Station,11047,1,37.20,59.07,84.39,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1657,2762,397692,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Lincoln Park Conservatory""",Quality Usage Station,7158,1,22.65,54.29,84.26,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1074,1790,257688,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Michigan Ave & Pearson St""",Quality Usage Station,5395,1,15.96,51.39,84.25,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,809,1349,194220,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Michigan Ave & Jackson Blvd""",Quality Usage Station,6944,1,20.42,53.82,83.83,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1042,1736,249984,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Michigan Ave & Ida B Wells Dr""",Quality Usage Station,4399,1,13.97,60.69,82.97,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,660,1100,158364,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Cannon Dr & Fullerton Ave""",Quality Usage Station,3691,1,12.86,60.35,82.93,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,554,923,132876,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Griffin Museum of Science and Industry""",Quality Usage Station,3000,1,14.35,65.65,80.89,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,450,750,108000,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Calumet Ave & 21st St""",Quality Usage Station,2718,1,10.18,54.78,80.38,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,408,680,97848,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Halsted St & Clybourn Ave""",Quality Usage Station,6011,1,16.98,30.85,80.08,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,902,1503,216396,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wells St & Evergreen Ave""",Quality Usage Station,7045,1,19.85,40.35,79.75,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1057,1761,253620,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wells St & Concord Ln""",Quality Usage Station,11283,1,31.69,35.51,79.65,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1692,2821,406188,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Southport Ave & Roscoe St""",Quality Usage Station,5611,1,15.99,34.74,79.58,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,842,1403,201996,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Southport Ave & Waveland Ave""",Quality Usage Station,5301,1,14.97,30.94,79.58,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,795,1325,190836,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Ashland Ave & Division St""",Quality Usage Station,6348,1,17.68,30.79,79.52,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,952,1587,228528,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Lincoln Ave & Fullerton Ave""",Quality Usage Station,5949,1,16.71,31.52,79.49,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,892,1487,214164,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Larrabee St & Webster Ave""",Quality Usage Station,6881,1,19.77,39.32,79.46,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1032,1720,247716,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Stockton Dr & Wrightwood Ave""",Quality Usage Station,5892,1,17.13,39.68,79.45,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,884,1473,212112,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""DuSable Lake Shore Dr & Wellington Ave""",Quality Usage Station,7199,1,22.15,43.07,79.44,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1080,1800,259164,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Wrightwood Ave""",Quality Usage Station,6565,1,18.39,32.94,79.44,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,985,1641,236340,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Halsted St & Fulton St""",Quality Usage Station,7369,1,20.82,34.38,79.43,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1105,1842,265284,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Canal St & Adams St""",Commuter Station,5365,1,15.24,24.03,79.40,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,805,1341,193140,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Rush St & Cedar St""",Quality Usage Station,5693,1,16.13,35.48,79.39,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,854,1423,204948,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Grace St""",Quality Usage Station,5465,1,15.48,45.41,79.36,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,820,1366,196740,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Drummond Pl""",Quality Usage Station,5584,1,15.77,31.74,79.35,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,838,1396,201024,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Milwaukee Ave & Grand Ave""",Quality Usage Station,5146,1,14.46,34.11,79.35,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,772,1287,185256,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""DuSable Lake Shore Dr & Diversey Pkwy""",Quality Usage Station,8667,1,27.43,42.02,79.34,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1300,2167,312012,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wells St & Hubbard St""",Quality Usage Station,7726,1,21.40,32.65,79.34,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1159,1932,278136,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Lakeview Ave & Fullerton Pkwy""",Quality Usage Station,7134,1,20.98,41.03,79.34,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1070,1784,256824,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clinton St & Washington Blvd""",Commuter Station,6708,1,18.84,19.64,79.34,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,1006,1677,241488,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Canal St & Madison St""",Commuter Station,7033,1,19.43,27.12,79.32,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,1055,1758,253188,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Green St & Madison St""",Quality Usage Station,5566,1,15.63,27.79,79.32,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,835,1392,200376,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Elm St""",Commuter Station,10698,1,29.88,30.46,79.29,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,1605,2675,385128,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clinton St & Madison St""",Commuter Station,8026,1,22.17,24.62,79.28,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,1204,2007,288936,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Schiller St""",Quality Usage Station,6157,1,17.44,34.43,79.28,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,924,1539,221652,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Armitage Ave""",Quality Usage Station,10332,1,30.03,41.24,79.27,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1550,2583,371952,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Broadway & Barry Ave""",Quality Usage Station,7341,1,20.45,30.71,79.27,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1101,1835,264276,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Halsted St & Roscoe St""",Quality Usage Station,6250,1,17.71,36.22,79.24,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,938,1563,225000,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Lincoln Ave""",Quality Usage Station,10313,1,29.55,41.97,79.22,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1547,2578,371268,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Dearborn Pkwy & Delaware Pl""",Quality Usage Station,7516,1,21.11,33.27,79.22,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1127,1879,270576,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Newport St""",Quality Usage Station,7206,1,19.96,41.30,79.20,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1081,1802,259416,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Orleans St & Merchandise Mart Plaza""",Quality Usage Station,6808,1,18.86,33.42,79.19,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1021,1702,245088,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Sheffield Ave & Wrightwood Ave""",Quality Usage Station,5729,1,16.18,38.55,79.15,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,859,1432,206244,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Halsted St & Wrightwood Ave""",Quality Usage Station,5593,1,15.80,35.35,79.15,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,839,1398,201348,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Dearborn St & Erie St""",Quality Usage Station,8221,1,22.77,29.99,79.10,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1233,2055,295956,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wilton Ave & Belmont Ave""",Quality Usage Station,8161,1,22.73,33.86,79.09,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1224,2040,293796,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""DuSable Lake Shore Dr & Belmont Ave""",Quality Usage Station,8022,1,24.09,44.19,79.07,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1203,2006,288792,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & North Ave""",Quality Usage Station,5156,1,15.91,43.52,79.03,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,773,1289,185616,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Franklin St & Jackson Blvd""",Quality Usage Station,6176,1,17.50,35.79,79.02,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,926,1544,222336,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""LaSalle St & Illinois St""",Quality Usage Station,9637,1,26.55,41.12,79.01,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1446,2409,346932,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Lakefront Trail & Wilson Ave""",Quality Usage Station,4085,1,14.18,55.30,79.01,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,613,1021,147060,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""State St & Randolph St""",Quality Usage Station,6385,1,17.94,39.24,78.91,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,958,1596,229860,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clinton St & Jackson Blvd""",Commuter Station,6187,1,17.33,23.58,78.90,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,928,1547,222732,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Federal St & Polk St""",Quality Usage Station,6074,1,17.11,34.44,78.90,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,911,1519,218664,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Rush St & Superior St""",Quality Usage Station,5295,1,16.09,35.51,78.89,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,794,1324,190620,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Damen Ave & Pierce Ave""",Quality Usage Station,6476,1,17.89,34.83,78.87,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,971,1619,233136,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Broadway & Cornelia Ave""",Quality Usage Station,6346,1,17.93,31.93,78.85,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,952,1587,228456,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""State St & Chicago Ave""",Quality Usage Station,7959,1,24.05,29.76,78.83,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1194,1990,286524,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wells St & Elm St""",Commuter Station,9931,1,27.43,32.94,78.82,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,1490,2483,357516,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Kingsbury St & Kinzie St""",Commuter Station,10036,1,27.72,25.57,78.81,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,1505,2509,361296,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Field Blvd & South Water St""",Quality Usage Station,6174,1,18.71,45.42,78.81,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,926,1544,222264,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Daley Center Plaza""",Quality Usage Station,6290,1,17.47,29.26,78.80,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,944,1573,226440,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""St. Clair St & Erie St""",Quality Usage Station,5282,1,15.01,30.51,78.79,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,792,1321,190152,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Broadway & Waveland Ave""",Quality Usage Station,5443,1,15.42,27.77,78.78,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,816,1361,195948,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,,Quality Usage Station,370791,1,1015.87,36.89,78.77,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,55619,92698,13348476,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""State St & Kinzie St""",Quality Usage Station,5586,1,15.43,38.03,78.72,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,838,1397,201096,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Clark St & Lake St""",Quality Usage Station,6135,1,17.33,32.05,78.67,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,920,1534,220860,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Pine Grove Ave & Waveland Ave""",Quality Usage Station,5615,1,16.14,31.39,78.64,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,842,1404,202140,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Fairbanks Ct & Grand Ave""",Quality Usage Station,7172,1,20.26,40.85,78.60,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1076,1793,258192,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wabash Ave & 9th St""",Quality Usage Station,5717,1,16.57,40.34,78.59,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,858,1429,205812,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Sheffield Ave & Waveland Ave""",Quality Usage Station,6983,1,19.78,41.01,78.55,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1047,1746,251388,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Indiana Ave & Roosevelt Rd""",Quality Usage Station,11808,1,33.64,45.80,78.53,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1771,2952,425088,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wabash Ave & Grand Ave""",Quality Usage Station,10631,1,29.45,41.34,78.52,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1595,2658,382716,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wentworth Ave & Cermak Rd""",Quality Usage Station,2512,1,8.08,54.78,78.51,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,377,628,90432,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""New St & Illinois St""",Quality Usage Station,10507,1,29.76,46.56,78.50,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1576,2627,378252,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wells St & Huron St""",Quality Usage Station,8387,1,23.10,34.36,78.48,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1258,2097,301932,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wabash Ave & Wacker Pl""",Quality Usage Station,6826,1,19.61,49.84,78.43,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1024,1707,245736,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Dearborn St & Monroe St""",Quality Usage Station,5804,1,16.26,30.11,78.41,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,871,1451,208944,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wells St & 19th St""",Quality Usage Station,1395,1,5.69,66.49,78.40,"Medium Investment ($2,000-5,000/year)",Community Partnerships + Local Events + Neighborhood Outreach,209,349,50220,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Michigan Ave & Washington St""",Quality Usage Station,10498,1,29.00,43.56,78.39,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1575,2625,377928,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Kingsbury St & Erie St""",Commuter Station,5262,1,14.66,25.70,78.36,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,789,1316,189432,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""McClurg Ct & Ohio St""",Quality Usage Station,8763,1,25.11,40.18,78.34,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1314,2191,315468,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Desplaines St & Kinzie St""",Commuter Station,7392,1,20.25,31.33,78.34,"Medium Investment ($2,000-5,000/year)",Commuter Benefits + Rush Hour Promotions + Time-Saving Messaging,1109,1848,266112,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Michigan Ave & Madison St""",Quality Usage Station,5227,1,15.46,47.75,78.33,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,784,1307,188172,High Priority (Q1-Q2 2025),15-25% conversion rate target
STATION_ROI_ANALYSIS,"""Wabash Ave & Roosevelt Rd""",Quality Usage Station,7507,1,20.97,34.85,78.30,"Medium Investment ($2,000-5,000/year)",High-Visibility Displays + Street Teams + QR Code Campaigns,1126,1877,270252,High Priority (Q1-Q2 2025),15-25% conversion rate target
