analysis_type,start_station_id,station_name,latitude,longitude,total_trips,casual_trips,member_trips,casual_usage_percentage,member_usage_percentage,casual_quality_percentage,casual_weekday_percentage,casual_commuter_percentage,avg_casual_duration,avg_member_duration,yoy_casual_growth_percent,conversion_opportunity_score,recommended_campaign_strategy,target_audience_profile,investment_priority_level,campaign_timing_recommendation
HIGH_POTENTIAL_STATION_ANALYSIS,"""373""","""373""",41.8986858540447,-87.7555726045704,97,90,7,92.78,7.22,61.11,84.44,34.44,17.1,16.57,43.24,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""23119""","""23119""",41.7388978480325,-87.6955306316748,82,76,6,92.68,7.32,85.53,64.47,40.79,22.02,33.72,,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""327""","""327""",41.9514662313122,-87.8323353293333,79,73,6,92.41,7.59,78.08,69.86,32.88,28.99,19.24,-74.14,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""365.0""","""365.0""",41.843046225424,-87.7315384861901,114,105,9,92.11,7.89,85.71,73.33,47.62,14.69,18.9,-88.30,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""24146""","""24146""",41.7711387392171,-87.7377112035039,86,79,7,91.86,8.14,84.81,74.68,26.58,24.55,7.55,,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""21403""","""21403""",41.7933303104786,-87.7305936642778,78,71,7,91.03,8.97,59.15,77.46,28.17,16.52,15.29,,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20202""","""20202""",41.706618414328,-87.7176274729627,125,112,13,89.60,10.40,80.36,66.07,25.89,22.83,15.85,-37.68,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20204""","""20204""",41.6923925902291,-87.7009589931589,293,262,31,89.42,10.58,86.26,72.52,52.29,25.39,15.24,-75.83,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""23128""","""23128""",41.7491230720033,-87.7042613594052,102,91,11,89.22,10.78,90.11,89.01,18.68,15.73,23.43,1620.00,85,Business District Campaign - Professional membership packages,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""23139""","""23139""",41.7652311865885,-87.7032020134218,162,144,18,88.89,11.11,84.72,56.94,43.06,31.02,17.39,1109.09,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20209""","""20209""",41.6798455791667,-87.6206659,52,46,6,88.46,11.54,67.39,86.96,34.78,29.55,61.49,-35.71,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""406""","""406""",41.7791162190909,-87.7317593612164,154,136,18,88.31,11.69,74.26,79.41,25.00,14.91,29.81,-90.32,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""21339""","""21339""",41.8224654775766,-87.699548918987,110,97,13,88.18,11.82,92.78,78.35,56.70,12.94,16.39,,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""369""","""369""",41.8916209430055,-87.7169162483183,244,215,29,88.11,11.89,46.98,72.09,19.07,16.65,14.96,90.54,75,Business District Campaign - Professional membership packages,Community Hub Users - Local Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""1092.0""","""1092.0""",41.7904371986716,-87.7799685562537,67,59,8,88.06,11.94,91.53,81.36,30.51,13.81,14.94,-31.43,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""399""","""399""",41.8094081976758,-87.748028952653,73,64,9,87.67,12.33,93.75,81.25,29.69,22.13,13.94,200.00,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""336""","""336""",41.8394788724883,-87.7014310167324,71,62,9,87.32,12.68,87.10,75.81,45.16,20.77,23.81,-68.09,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""390""","""390""",41.77087649541,-87.6918388997467,100,87,13,87.00,13.00,80.46,68.97,36.78,19.27,14.8,-100.00,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""320""","""320""",41.9438787109308,-87.823371860283,106,92,14,86.79,13.21,76.09,65.22,34.78,22.91,16.77,-41.38,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""352""","""352""",41.9305995358928,-87.8006197110088,420,363,57,86.43,13.57,86.78,74.66,25.07,11.8,28.87,-90.66,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""21334""","""21334""",41.8389114979407,-87.7168849281484,146,126,20,86.30,13.70,69.84,60.32,25.40,13.71,12.73,,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Community Hub Users - Local Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""376""","""376""",41.9097706344749,-87.7701634375799,73,63,10,86.30,13.70,76.19,84.13,23.81,29.28,41.14,-20.00,95,Business District Campaign - Professional membership packages,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""407""","""407""",41.7731112253257,-87.7292613179081,87,75,12,86.21,13.79,80.00,66.67,22.67,19.76,11.8,-88.06,95,Regular User Campaign - Highlight cost savings and convenience,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""23123""","""23123""",41.7428052266051,-87.6801771045782,260,223,37,85.77,14.23,84.30,60.54,37.22,32.34,17.43,,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""362.0""","""362.0""",41.8592343704915,-87.7179094464576,118,101,17,85.59,14.41,61.39,74.26,32.67,23.72,14.59,-12.96,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""24196""","""24196""",41.9095851088495,-87.7691273202849,62,53,9,85.48,14.52,75.47,60.38,30.19,28.5,37.17,,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20241""","""20241""",41.738314194782,-87.5306977229027,185,158,27,85.41,14.59,82.91,56.33,29.11,25.41,20.55,-26.37,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""308""","""308""",41.9122775401016,-87.7687815054187,82,70,12,85.37,14.63,64.29,65.71,44.29,26.81,49.29,-40.91,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""404""","""404""",41.7832490321161,-87.7219869022521,201,171,30,85.07,14.93,50.29,77.78,23.98,7.79,11.74,-58.68,95,Business District Campaign - Professional membership packages,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20214""","""20214""",41.6518330908196,-87.5403235579967,165,140,25,84.85,15.15,65.71,70.71,56.43,38.14,25.99,-27.16,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""334.0""","""334.0""",41.839191091183,-87.7176350453295,173,146,27,84.39,15.61,68.49,78.08,32.88,9.43,8.85,-88.55,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20113""","""20113""",41.7072769279479,-87.6076681639629,140,118,22,84.29,15.71,82.20,62.71,32.20,26.38,13.28,-54.32,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""1199.0""","""1199.0""",41.9763931668633,-87.7876840096467,100,84,16,84.00,16.00,83.33,60.71,28.57,15.75,17.67,54.55,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""393""","""393""",41.9441163091822,-87.8113629937467,75,63,12,84.00,16.00,77.78,68.25,28.57,19.97,16.81,-60.00,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""1095.0""","""1095.0""",41.7928067942267,-87.7802655744067,50,42,8,84.00,16.00,92.86,90.48,30.95,10.19,13.46,-17.39,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""344""","""344""",41.8083811145556,-87.7210323268519,279,234,45,83.87,16.13,49.57,73.50,29.06,9.99,10.77,103.90,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""23137""","""23137""",41.7644833120103,-87.7200268554846,130,109,21,83.85,16.15,81.65,77.98,37.61,25.8,24.04,790.91,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""400""","""400""",41.8016180586982,-87.7492228240946,148,124,24,83.78,16.22,79.84,59.68,39.52,21.63,18.64,-68.09,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Regular Recreational Users - Consistent Engagement,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""20114""","""20114""",41.6950365798227,-87.5987825017182,196,164,32,83.67,16.33,89.63,75.61,29.88,31.25,16.47,-9.30,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
HIGH_POTENTIAL_STATION_ANALYSIS,"""516""","""516""",41.9204920027057,-87.7413606816328,128,107,21,83.59,16.41,73.83,81.31,36.45,14.01,14.5,-71.08,95,Commuter Conversion Campaign - Rush hour targeting with time-saving benefits,Potential Commuters - High Value Prospects,Priority Investment - Premium Conversion Opportunity,Immediate deployment - High priority launch
