analysis_type,neighborhood_cluster_id,neighborhood_center_lat,neighborhood_center_lng,key_stations,stations_in_cluster,total_neighborhood_trips,casual_neighborhood_trips,member_neighborhood_trips,unique_casual_usage_days,unique_member_usage_days,casual_usage_percentage,member_usage_percentage,member_penetration_gap,trips_per_casual_day,trips_per_station,casual_weekday_percentage,casual_commuter_percentage,casual_midday_percentage,casual_leisure_percentage,casual_quality_percentage,avg_casual_duration,neighborhood_connectivity,connectivity_per_usage_day,peak_season_concentration,yoy_casual_growth_percent,yoy_member_growth_percent,neighborhood_conversion_score,neighborhood_type,neighborhood_campaign_strategy,partnership_opportunities,deployment_strategy,estimated_neighborhood_conversions,investment_priority,operational_recommendation,long_term_strategy
NEIGHBORHOOD_CONVERSION_ANALYSIS,4193_-8766,41.9342858521968,-87.6558543806344,Neighborhood_4193_-8766,46,136833,47300,89533,4371,4777,34.57,65.43,30.86,10.82,2974.63,61.56,36.53,39.22,22.68,79.64,12.78,206,0.05,45.07,-18.07,-7.93,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1224,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4190_-8768,41.9053040633297,-87.6762988836137,Neighborhood_4190_-8768,37,131318,43015,88303,4163,4436,32.76,67.24,34.49,10.33,3549.14,60.26,35.09,39.40,22.69,81.76,15.3,240,0.06,42.93,-5.90,-1.11,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1166,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4189_-8765,41.8938487377334,-87.6454539239684,Neighborhood_4189_-8765,76,149164,42025,107139,3677,4002,28.17,71.83,43.65,11.43,1962.68,71.17,37.46,42.37,17.44,80.49,12.1,215,0.06,38.62,2.89,-0.46,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1030,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4191_-8765,41.9139753123794,-87.6474315521555,Neighborhood_4191_-8765,53,130288,41591,88697,4720,5122,31.92,68.08,36.16,8.81,2458.26,63.30,36.57,41.07,22.23,85.27,14.34,208,0.04,45.74,1.43,-0.59,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1322,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4195_-8765,41.9536213750835,-87.6493661709722,Neighborhood_4195_-8765,35,115563,36272,79291,2792,2952,31.39,68.61,37.23,12.99,3301.80,60.77,33.14,41.56,22.86,77.18,15.8,211,0.08,48.17,-2.70,11.49,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,782,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4194_-8767,41.9441722824601,-87.665753936285,Neighborhood_4194_-8767,47,106058,34299,71759,3067,3342,32.34,67.66,35.32,11.18,2256.55,60.38,32.63,40.94,25.79,84.85,14.5,201,0.07,45.91,-6.97,4.46,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,859,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4191_-8766,41.914689247144,-87.6543308398432,Neighborhood_4191_-8766,81,102405,32640,69765,3718,4207,31.87,68.13,36.25,8.78,1264.26,62.82,34.45,41.53,25.17,86.65,13.74,197,0.05,44.84,7.92,12.40,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1041,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4179_-8760,41.793933099965,-87.5979891860012,Neighborhood_4179_-8760,14,119941,32426,87515,2804,2909,27.03,72.97,45.93,11.56,8567.21,73.24,29.58,56.54,16.00,60.35,12.05,165,0.06,33.41,-13.40,-1.17,95,Commercial District - Shopping & Dining Hub,Business Neighborhood Campaign - Professional networking and efficiency,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,785,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4196_-8766,41.965071706458,-87.655817398627,Neighborhood_4196_-8766,34,96498,31049,65449,3967,4375,32.18,67.82,35.65,7.83,2838.18,63.31,33.25,42.97,21.50,77.31,15.85,201,0.05,45.38,3.17,-1.13,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1111,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4190_-8767,41.9037039278852,-87.6675764648913,Neighborhood_4190_-8767,36,95190,29569,65621,3212,3561,31.06,68.94,37.87,9.21,2644.17,64.49,38.61,38.39,21.09,86.09,15.01,213,0.07,44.41,3.78,11.71,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,899,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4191_-8769,41.9130794759444,-87.6847477371869,Neighborhood_4191_-8769,19,89164,29044,60120,4262,4696,32.57,67.43,34.85,6.81,4692.84,63.47,38.09,39.74,21.26,84.41,15.83,231,0.05,42.02,-12.58,0.45,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1193,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4190_-8765,41.9053814769293,-87.6453684856181,Neighborhood_4190_-8765,56,95887,27923,67964,3278,3671,29.12,70.88,41.76,8.52,1712.27,67.59,38.96,42.70,20.61,84.46,13.03,176,0.05,43.84,-0.41,-8.51,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,918,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4193_-8767,41.9355526753488,-87.6658421571182,Neighborhood_4193_-8767,25,85462,27811,57651,3319,3648,32.54,67.46,34.92,8.38,3418.48,60.73,36.54,38.64,21.97,83.07,13.44,196,0.06,44.26,-12.18,-7.16,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,929,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4196_-8768,41.9653420000803,-87.675813876715,Neighborhood_4196_-8768,19,85604,26432,59172,3906,4340,30.88,69.12,38.25,6.77,4505.47,67.40,36.74,43.25,21.24,80.62,13.5,203,0.05,42.45,-4.18,7.40,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1094,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4192_-8767,41.9251743251113,-87.6659672027431,Neighborhood_4192_-8767,21,78333,26200,52133,3334,3628,33.45,66.55,33.11,7.86,3730.14,64.90,38.00,40.06,23.04,84.84,13.68,191,0.06,44.93,-20.42,-8.45,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,934,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4189_-8766,41.8936365899684,-87.6561130818066,Neighborhood_4189_-8766,52,79855,25308,54547,2793,2963,31.69,68.31,36.62,9.06,1535.67,69.15,41.30,39.87,16.93,85.75,12.91,208,0.07,41.84,1.90,2.29,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,782,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4197_-8766,41.9734981540821,-87.6569376406631,Neighborhood_4197_-8766,17,70151,22932,47219,3263,3599,32.69,67.31,34.62,7.03,4126.53,60.36,32.85,45.28,21.18,75.24,19.8,204,0.06,47.61,-1.69,3.67,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,914,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4197_-8767,41.9743161298974,-87.6682990440749,Neighborhood_4197_-8767,15,66989,22568,44421,2314,2528,33.69,66.31,32.62,9.75,4465.93,61.92,32.24,43.03,24.00,80.01,14.85,178,0.08,44.42,-8.81,-2.35,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,648,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4194_-8768,41.9436989872254,-87.6756389219262,Neighborhood_4194_-8768,46,62357,20354,42003,4039,4787,32.64,67.36,34.72,5.04,1355.59,60.22,34.83,41.56,24.28,87.03,15,188,0.05,46.75,-3.95,10.62,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1131,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4189_-8768,41.8953612912217,-87.6752939737017,Neighborhood_4189_-8768,42,65682,19362,46320,3599,4221,29.48,70.52,41.04,5.38,1563.86,64.91,37.83,41.66,18.48,85.49,14.3,209,0.06,42.54,0.48,-1.04,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,1008,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4191_-8767,41.9137341782935,-87.6677119037254,Neighborhood_4191_-8767,31,56703,19143,37560,2630,2921,33.76,66.24,32.48,7.28,1829.13,66.27,39.10,39.78,22.00,84.77,15.68,193,0.07,41.28,9.14,13.37,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,736,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4178_-8761,41.7857060876593,-87.6018250098441,Neighborhood_4178_-8761,12,70130,18614,51516,2553,3261,26.54,73.46,46.92,7.29,5844.17,70.45,33.48,51.28,17.63,55.13,11.66,129,0.05,33.68,-8.46,-1.20,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,715,High Priority Investment - Major Neighborhood Opportunity,Improve station maintenance - Low trip quality area,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4189_-8767,41.8955511932255,-87.6658430000428,Neighborhood_4189_-8767,47,61982,18529,43453,3275,3707,29.89,70.11,40.21,5.66,1318.77,64.32,36.98,39.33,22.28,87.66,14.74,212,0.06,43.52,-10.89,-4.97,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,917,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4187_-8766,41.8740756493063,-87.654137558967,Neighborhood_4187_-8766,27,91950,18239,73711,2644,2941,19.84,80.16,60.33,6.90,3405.56,72.99,32.67,49.29,18.95,75.37,12.28,173,0.07,36.61,13.20,-2.30,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,740,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4198_-8767,41.9841802801841,-87.6654538208481,Neighborhood_4198_-8767,17,57108,17870,39238,2651,2910,31.29,68.71,37.42,6.74,3359.29,60.84,31.70,42.81,24.14,77.37,18.5,202,0.08,46.08,-5.95,-5.24,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,742,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4186_-8765,41.8656889086695,-87.6463378618803,Neighborhood_4186_-8765,27,57289,16209,41080,2623,2873,28.29,71.71,43.41,6.18,2121.81,70.87,32.86,45.39,22.49,77.88,13.24,188,0.07,39.75,3.09,-4.90,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,734,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4187_-8767,41.872877900076,-87.6648567777291,Neighborhood_4187_-8767,32,87562,14812,72750,3103,3628,16.92,83.08,66.17,4.77,2736.31,74.26,35.07,49.85,15.53,80.91,14.03,198,0.06,36.02,8.30,-5.33,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,869,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4179_-8761,41.7950944596761,-87.6015801136949,Neighborhood_4179_-8761,12,53498,14383,39115,2238,2810,26.89,73.11,46.23,6.43,4458.17,71.35,33.11,54.33,15.50,55.87,11.09,114,0.05,33.55,-7.33,-0.71,95,Business District - Commuter Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,627,High Priority Investment - Major Neighborhood Opportunity,Improve station maintenance - Low trip quality area,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4196_-8767,41.9639618064394,-87.6673149974384,Neighborhood_4196_-8767,18,40831,13967,26864,1926,2167,34.21,65.79,31.59,7.25,2268.39,61.90,34.32,42.20,22.98,80.04,13.52,195,0.10,44.50,-0.01,-2.75,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,539,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4186_-8766,41.8666450622185,-87.6560556825046,Neighborhood_4186_-8766,29,59651,13162,46489,3369,4149,22.07,77.93,55.87,3.91,2056.93,67.47,33.70,45.32,20.34,78.65,14.63,184,0.05,36.63,5.95,-4.59,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,943,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4196_-8769,41.9653682335206,-87.6868449978742,Neighborhood_4196_-8769,19,38508,12664,25844,2744,3316,32.89,67.11,34.23,4.62,2026.74,62.56,34.06,40.63,25.54,82.48,15.39,200,0.07,43.34,-1.01,-2.29,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,768,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4190_-8769,41.902927240455,-87.6869460092103,Neighborhood_4190_-8769,27,38278,12511,25767,2693,3032,32.68,67.32,34.63,4.65,1417.70,64.47,39.36,40.42,18.30,80.95,13.86,205,0.08,40.22,-16.39,-7.21,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,754,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4192_-8768,41.9209758155467,-87.6774185277308,Neighborhood_4192_-8768,27,34536,11547,22989,2424,2847,33.43,66.57,33.13,4.76,1279.11,63.71,39.72,38.75,23.37,85.31,14.01,192,0.08,43.50,-2.78,7.05,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,679,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
NEIGHBORHOOD_CONVERSION_ANALYSIS,4193_-8768,41.9333498940724,-87.6779221492731,Neighborhood_4193_-8768,18,33485,11185,22300,2099,2414,33.40,66.60,33.19,5.33,1860.28,66.17,36.48,43.61,22.03,88.24,14.26,177,0.08,43.44,-32.13,-12.18,95,Commercial District - Shopping & Dining Hub,Commuter Neighborhood Campaign - Rush hour convenience and time savings,Corporate Partnerships - Office buildings and business associations,Intensive Deployment - Multi-channel neighborhood saturation,588,High Priority Investment - Major Neighborhood Opportunity,Maintain operations - Stable neighborhood performance,Community Engagement - Build local brand ambassador program
